airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-05-01,Delhi,Cochin,09:00:00,19:15:00,615,1,No Info,15373
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,04:25:00,520,1,No Info,14714
Multiple Carriers,2019-06-24,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,13587
Spicejet,2019-05-15,Banglore,Delhi,05:55:00,08:35:00,160,0,No check-in baggage included,3257
Indigo,2019-03-21,Delhi,Cochin,02:05:00,07:25:00,320,1,No Info,4862
Multiple Carriers,2019-05-18,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,9385
Air India,2019-03-06,Delhi,Cochin,06:10:00,08:15:00,1565,1,No Info,11038
Indigo,2019-05-18,Kolkata,Banglore,19:20:00,23:45:00,265,1,No Info,3717
Spicejet,2019-03-24,Kolkata,Banglore,09:00:00,11:30:00,150,0,No check-in baggage included,5201
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,09:45:00,1450,1,No Info,12121
Multiple Carriers,2019-06-09,Delhi,Cochin,10:20:00,19:00:00,520,1,No Info,11789
Air Asia,2019-03-18,Kolkata,Banglore,19:35:00,22:05:00,150,0,No Info,4384
Jet Airways,2019-03-27,Delhi,Cochin,16:00:00,04:25:00,745,1,No Info,12242
Indigo,2019-05-12,Kolkata,Banglore,15:15:00,20:05:00,290,1,No Info,5170
Multiple Carriers,2019-06-27,Delhi,Cochin,12:50:00,21:00:00,490,1,In-flight meal not included,6007
Jet Airways,2019-03-01,Banglore,Delhi,08:00:00,20:20:00,740,1,No Info,27992
Air Asia,2019-03-01,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,5620
Air Asia,2019-05-24,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,4409
Indigo,2019-05-09,Banglore,Delhi,08:30:00,11:20:00,170,0,No Info,4823
Jet Airways,2019-05-27,Banglore,Delhi,08:20:00,11:20:00,180,0,In-flight meal not included,4030
Air India,2019-03-12,Banglore,Delhi,08:50:00,23:15:00,865,1,No Info,12127
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,12:35:00,1615,2,In-flight meal not included,13029
Jet Airways,2019-05-09,Delhi,Cochin,05:30:00,19:00:00,810,2,In-flight meal not included,13029
Goair,2019-06-03,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,3419
Multiple Carriers,2019-06-06,Delhi,Cochin,10:00:00,21:00:00,660,1,No Info,7933
Jet Airways,2019-06-06,Banglore,Delhi,17:45:00,20:45:00,180,0,No Info,8016
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,18:00:00,1295,1,No Info,12692
Indigo,2019-03-21,Delhi,Cochin,04:45:00,21:00:00,975,1,No Info,6314
Goair,2019-05-15,Banglore,Delhi,11:40:00,14:30:00,170,0,No Info,3398
Air India,2019-03-09,Delhi,Cochin,20:00:00,19:15:00,1395,2,No Info,16111
Jet Airways,2019-06-03,Banglore,Delhi,17:45:00,20:45:00,180,0,In-flight meal not included,6478
Jet Airways,2019-03-06,Banglore,Delhi,07:00:00,19:10:00,730,1,No Info,16736
Jet Airways,2019-03-09,Delhi,Cochin,20:50:00,18:50:00,1320,1,No Info,16289
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,09:45:00,800,1,In-flight meal not included,10703
Air India,2019-05-18,Kolkata,Banglore,05:50:00,20:25:00,875,2,No Info,12093
Vistara,2019-05-01,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,11982
Indigo,2019-03-03,Chennai,Kolkata,05:15:00,07:35:00,140,0,No Info,6482
Jet Airways,2019-03-27,Mumbai,Hyderabad,02:55:00,04:25:00,90,0,In-flight meal not included,1840
Vistara,2019-06-12,Chennai,Kolkata,07:05:00,09:20:00,135,0,No Info,3687
Multiple Carriers,2019-06-27,Delhi,Cochin,07:10:00,16:10:00,540,1,In-flight meal not included,6093
Air India,2019-05-03,Banglore,Delhi,13:20:00,16:10:00,170,0,No Info,6121
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,16:20:00,475,1,No Info,14781
